No,abbreviation,constellation En,12 ecliptical
1,And,Andromeda,
2,Ant,Antlia,
3,Aps,Apus,
4,Aql,Aquila,
5,Aqr,Aquarius,Y
6,Ara,Ara,
7,Ari,Aries,Y
8,Aur,Auriga,
9,Boo,Bootes,
10,Cae,Caelum,
11,Cam,Camelopardalis,
12,Cap,Capricornus,Y
13,Car,Carina,
14,Cas,Cassiopeia,
15,Cen,Centaurus,
16,Cep,Cepheus,
17,Cet,Cetus,
18,Cha,Chamaeleon,
19,Cir,Circinus,
20,CMa,Canis Major,
21,CMi,Canis Minor,
22,Cnc,Cancer,Y
23,Col,Columba,
24,Com,Coma Berenices,
25,CrA,Corona Australis,
26,CrB,Corona Borealis,
27,Crt,Crater,
28,Cru,Crux,
29,Crv,Corvus,
30,CVn,Canes Venatici,
31,Cyg,Cygnus,
32,Del,Delphinus,
33,Dor,Dorado,
34,Dra,Draco,
35,Equ,Equuleus,
36,Eri,Eridanus,
37,For,Fornax,
38,Gem,Gemini,Y
39,Gru,Grus,
40,Her,Hercules,
41,Hor,Horologium,
42,Hya,Hydra,
43,Hyi,Hydrus,
44,Ind,Indus,
45,Lac,Lacerta,
46,Leo,Leo,Y
47,Lep,Lepus,
48,Lib,Libra,Y
49,LMi,Leo Minor,
50,Lup,Lupus,
51,Lyn,Lynx,
52,Lyr,Lyra,
53,Men,Mensa,
54,Mic,Microscopium,
55,Mon,Monoceros,
56,Mus,Musca,
57,Nor,Norma,
58,Oct,Octans,
59,Oph,Ophiuchus,
60,Ori,Orion,
61,Pav,Pavo,
62,Peg,Pegasus,
63,Per,Perseus,
64,Phe,Phoenix,
65,Pic,Pictor,
66,PsA,Piscis Austrinus,
67,Psc,Pisces,Y
68,Pup,Puppis,
69,Pyx,Pyxis,
70,Ret,Reticulum,
71,Scl,Sculptor,
72,Sco,Scorpius,Y
73,Sct,Scutum,
74,Ser,Serpens(Caput&Cauda),
75,Sex,Sextans,
76,Sge,Sagitta,
77,Sgr,Sagittarius,Y
78,Tau,Taurus,Y
79,Tel,Telescopium,
80,TrA,Triangulum Australe,
81,Tri,Triangulum,
82,Tuc,Tucana,
83,UMa,Ursa Major,
84,UMi,Ursa Minor,
85,Vel,Vela,
86,Vir,Virgo,Y
87,Vol,Volans,
88,Vul,Vulpecula,
